Number,Korean,Translation,Translation2,WordType,ExampleSentence,ExampleSentenceTranslation
1543,지하철,Subway,,1,출퇴근 시간에 지하철이 매우 붐빈다.,The subway is very crowded during rush hour.
1544,집다,Pick up,,8,젓가락으로 반찬을 집어 먹었다.,I picked up side dishes with chopsticks and ate them.
1545,현,"The present, the existence, actuality",,1,현 상황에서는 다른 방법이 없다.,There is no other way in the current situation.
1546,화면,Screen,,1,화면이 너무 작아서 글씨가 잘 안 보인다.,The screen is too small so I cannot see the text well.
1547,군,Mr.,,1,김 군은 성실한 학생이다.,Mr. Kim is a diligent student.
1548,대표적,Representative,,4,김치는 한국의 대표적인 음식이다.,Kimchi is a representative Korean food.
1549,만일,"If, suppose",,5,만일 내일 비가 오면 행사는 취소됩니다.,If it rains tomorrow the event will be canceled.
1550,사회적,Socially,,4,빈부 격차는 심각한 사회적 문제이다.,The wealth gap is a serious social problem.
1551,생겨나다,"To begin, germinate",,8,새로운 문화가 자연스럽게 생겨났다.,A new culture naturally emerged.
1552,이어,"vulgarity, slang",,5,회의에 이어 간단한 식사가 제공되었다.,A simple meal was provided following the meeting.
1553,주부,A wife,,1,요즘은 전업 주부가 줄어드는 추세이다.,The trend these days is that full-time homemakers are decreasing.
1554,진리,"A truth, a fact",,1,과학자들은 진리를 탐구한다.,Scientists seek the truth.
1555,태양,The sun,,1,태양이 구름 사이로 빛나고 있다.,The sun is shining through the clouds.
1556,틀림없다,No mistaking it,,9,그 사람이 범인임에 틀림없다.,There is no doubt that person is the culprit.
1557,프로,Professional,,1,그는 이 분야에서 진정한 프로이다.,He is a true professional in this field.
1558,피다,To bloom ( a flower ~),,8,봄이 되자 벚꽃이 활짝 피었다.,Cherry blossoms bloomed fully when spring came.
1559,공급,Supply or provision,,1,식수 공급이 일시적으로 중단되었다.,The water supply was temporarily suspended.
1560,도로,"A road, way",,1,도로 공사로 인해 교통이 혼잡하다.,Traffic is congested due to road construction.
1561,잘못,"wrong, mistake",,1,자신의 잘못을 솔직하게 인정했다.,He honestly admitted his mistake.
1562,지다,Carry (on the back),,8,할머니가 무거운 짐을 등에 지고 계셨다.,Grandmother was carrying a heavy load on her back.
1563,채우다,"To fill up, complete, fulfill",,8,물통에 물을 가득 채웠다.,I filled the water bottle to the top.
1564,균형,Balance or equilibrium,,1,일과 생활의 균형을 유지하는 것이 중요하다.,It is important to maintain a balance between work and life.
1565,기본적,Fundamental or basic,,4,기본적인 예절은 반드시 지켜야 한다.,Basic manners must be observed.
1566,부족,A tribe,,1,아프리카에는 다양한 부족이 살고 있다.,Various tribes live in Africa.
1567,사무실,Office,,1,사무실에서 회의가 진행 중이다.,A meeting is in progress at the office.
1568,이월,February,,1,이월에는 날씨가 아직 많이 춥다.,The weather is still very cold in February.
1569,일요일,Sunday,,1,일요일에는 보통 가족과 시간을 보낸다.,I usually spend time with family on Sundays.
1570,접근,Proximity,,1,이 지역은 차량 접근이 제한되어 있다.,Vehicle access to this area is restricted.
1571,지켜보다,"Watch, stare at ( wait on some situation)",,8,멀리서 아이들이 노는 모습을 지켜보았다.,I watched the children playing from a distance.
1572,개성,Individuality or personality,,1,그녀는 개성이 강한 사람이다.,She is a person with a strong personality.
1573,달리다,"Hang, be suspended",,8,벽에 액자가 달려 있다.,A picture frame is hanging on the wall.
1574,더하다,Get worse,,8,추위가 갈수록 더해지고 있다.,The cold is getting worse as time goes on.
1575,무너지다,Collapse,,8,오래된 건물이 무너져서 큰 사고가 났다.,An old building collapsed and a major accident occurred.
1576,보통,Usually,,5,보통 아침 7시에 일어난다.,I usually wake up at 7 in the morning.
1577,쓰다,To wear (a hat),,8,모자를 쓰고 밖으로 나갔다.,I put on a hat and went outside.
1578,이러다,do/say think this way,,8,이러다가 큰일 나겠다.,If we keep doing this something bad will happen.
1579,일어서다,"To rise to one’s feet, stand up",,8,자리에서 일어서서 인사했다.,I stood up from my seat and greeted them.
1580,죄,"A crime, a sin",,1,그는 자신의 죄를 뉘우치고 있다.,He is repenting for his crime.
1581,참,In reality,,5,참 오랜만에 만나니 반갑다.,It is really nice to meet after such a long time.
1582,총장,"The president, the chancellor (university’s)",,1,대학 총장이 졸업식에서 축사를 했다.,The university president gave a congratulatory speech at the graduation
1583,핵심,"The kernel, the core",,1,문제의 핵심을 정확히 파악해야 한다.,You must accurately grasp the core of the problem.
1584,후반,The latter/second half,,1,경기 후반에 역전골이 나왔다.,A comeback goal came in the second half of the game.
1585,단순히,Simply,,5,이 문제는 단순히 돈의 문제가 아니다.,This problem is not simply a matter of money.
1586,달려가다,"Run, rush, dash",,8,아이가 엄마를 보고 달려갔다.,The child saw the mother and ran toward her.
1587,방문,A visit,,1,대통령이 일본을 공식 방문했다.,The president made an official visit to Japan.
1588,불만,Dissatisfaction,,1,서비스에 대한 불만이 접수되었다.,A complaint about the service was received.
1589,불편하다,To be unpleasant,,9,새 신발이 발에 맞지 않아 불편하다.,The new shoes do not fit my feet and are uncomfortable.
1590,종,"A sort, kind, species",,1,이 동물원에는 200종이 넘는 동물이 있다.,This zoo has more than 200 species of animals.
1591,피,Blood (is flowing),,1,손가락을 베어서 피가 났다.,I cut my finger and it bled.
1592,강,River,,1,한강은 서울을 가로지르는 강이다.,The Han River is a river that runs through Seoul.
1593,관객,Spectator,,1,공연장에 관객이 가득 찼다.,The venue was filled with spectators.
1594,막,Just now,,5,막 도착해서 아직 상황을 모르겠다.,I just arrived so I do not know the situation yet.
1595,밀리미터,Millimeter,,1,이 부품의 오차는 1밀리미터 이내여야 한다.,The tolerance of this part must be within 1 millimeter.
1596,비싸다,To be expensive,,9,서울의 집값은 너무 비싸다.,Housing prices in Seoul are too expensive.
1597,숫자,"A figure, number",,1,칠판에 적힌 숫자를 확인해 주세요.,Please check the numbers written on the blackboard.
1598,열,Heat,,1,열이 나서 병원에 갔다.,I went to the hospital because I had a fever.
1599,왼쪽,The left side,,1,왼쪽으로 돌면 우체국이 보입니다.,If you turn left you will see the post office.
1600,중세,The middle ages,,1,중세 유럽에서는 성이 중요한 역할을 했다.,Castles played an important role in medieval Europe.
1601,택시,Taxi,,1,택시를 타고 공항까지 갔습니다.,I took a taxi to the airport.
1602,통합,"Unity, unification",,1,두 회사의 통합이 드디어 이루어졌다.,The unification of the two companies was finally achieved.
1603,계산,Calculation,,1,계산이 맞는지 다시 확인해 주세요.,Please check again whether the calculation is correct.
1604,꼬리,Tail,,1,강아지가 꼬리를 흔들며 반겨 주었다.,The puppy welcomed me wagging its tail.
1605,놀랍다,To be surprising,,9,그 소식을 듣고 정말 놀라웠다.,I was really surprised to hear that news.
1606,양식,"A mode, a style, an order, a modality",,1,신청 양식을 작성해서 제출하세요.,Please fill out the application form and submit it.
1607,예전,"Old days, former days",,1,예전에는 이 근처에 논밭이 많았다.,In the old days there were many rice paddies around here.
1608,전기,Electricity,,1,태풍 때문에 전기가 끊겼다.,The electricity went out because of the typhoon.
1609,주식,Stock,,1,요즘 주식 시장이 많이 불안하다.,The stock market has been very unstable lately.
1610,틀리다,"To be turned, warped 2) go wrong, be mistaken",,8,내 예상이 완전히 틀렸다.,My prediction was completely wrong.
1611,끊임없이,Constantly or unceasingly,,5,그는 끊임없이 새로운 아이디어를 내놓았다.,He constantly came up with new ideas.
1612,모델,Model,,1,그녀는 유명한 패션 모델이다.,She is a famous fashion model.
1613,붓다,"to pour (water, liquid)",,8,컵에 물을 부어 주세요.,Please pour water into the cup.
1614,상식,Common sense,,1,그 정도는 상식으로 알아야 한다.,You should know that much as common sense.
1615,상표,"trademark, brand",,1,이 상표는 전 세계적으로 유명하다.,This brand is famous worldwide.
1616,시원하다,"Be cool, refreshing",,9,바람이 불어서 시원하다.,It is cool because the wind is blowing.
1617,아니하다,To be/do not,,8,그는 약속을 지키지 아니하였다.,He did not keep his promise.
1618,의식하다,"Be conscious of, be aware of",,8,다른 사람의 시선을 너무 의식하지 마세요.,Do not be too conscious of other people gazes.
1619,고모,A paternal aunt,,1,고모가 설날에 우리 집에 오셨다.,My paternal aunt came to our house on New Year Day.
1620,궁금하다,To wonder or be curious about,,9,결과가 어떻게 되었는지 궁금하다.,I am curious about how the results turned out.
1621,민주화,Democratization,,1,한국은 민주화를 위해 오랫동안 노력해 왔다.,Korea has worked for a long time toward democratization.
1622,보도,"news, report",,1,그 사건에 대한 보도가 연일 이어졌다.,News reports about the incident continued day after day.
1623,살피다,Take a good look at,,8,주변을 잘 살피고 길을 건너세요.,Look around carefully before crossing the street.
1624,약하다,To be weak,,9,나는 추위에 약하다.,I am weak against the cold.
1625,잘못하다,To make a mistake,,8,제가 잘못했습니다. 죄송합니다.,I made a mistake. I am sorry.
1626,잡지,A magazine,,1,서점에서 패션 잡지를 한 권 샀다.,I bought a fashion magazine at the bookstore.
1627,거부하다,Deny or reject or disapprove,,8,그는 그 제안을 단호하게 거부했다.,He firmly rejected the proposal.
1628,공무원,Public servant,,1,형은 공무원 시험을 준비하고 있다.,My older brother is preparing for the civil service exam.
1629,그만두다,Stop or discontinue,,8,건강이 안 좋아서 회사를 그만두었다.,I quit the company because my health was not good.
1630,댁,You and your family,,2,댁은 어디에 사십니까?,Where do you live if I may ask?
1631,반갑다,Be happy,,9,오랜만에 만나니 정말 반갑다.,It is so nice to meet you after such a long time.
1632,부족,"lack, want (scarcity, insufficiency)",,1,잠이 부족하면 집중력이 떨어진다.,If you lack sleep your concentration drops.
1633,실시,"execution, enforcement",,1,내일부터 새로운 제도가 실시된다.,The new system will be enforced starting tomorrow.
1634,운명,"fate, fortune",,1,그는 자신의 운명을 스스로 개척했다.,He carved out his own fate by himself.
1635,재정,"finances, economy",,1,정부의 재정 상태가 점점 악화되고 있다.,The government financial situation is gradually worsening.
1636,차라리,"rather, preferably",,5,비가 이렇게 오면 차라리 집에 있는 게 낫다.,If it rains this much it is better to just stay home.
1637,학자,Scholar,,1,그는 한국 역사를 연구하는 학자이다.,He is a scholar who studies Korean history.
1638,다녀오다,Drop in for a short visit,,8,잘 다녀오세요!,Have a good trip!
1639,달다,"to attach, fix",,8,벽에 시계를 달았다.,I attached a clock to the wall.
1640,대규모,On a large scale,,1,대규모 공사가 시작되었다.,A large-scale construction project has begun.
1641,동,the same,,4,동 시간대에 두 개의 행사가 열렸다.,Two events were held at the same time.
1642,민간,"civil, private",,1,이 사업은 민간 기업이 운영하고 있다.,This project is operated by a private company.
1643,법원,Court of justice,,1,그 사건은 법원에서 심리 중이다.,That case is being heard in court.
1644,비디오,Video,,1,어렸을 때 비디오를 빌려서 영화를 봤다.,When I was young I rented videos to watch movies.
1645,사실상,"Actually, in truth",,5,그 계획은 사실상 실패한 것이나 다름없다.,That plan has virtually failed.
1646,아끼다,"grudge, spare",,8,부모님은 자식을 위해 돈을 아끼지 않는다.,Parents do not spare money for their children.
1647,이쪽,"This side, our way",,2,이쪽으로 오시면 더 빠릅니다.,It is faster if you come this way.
1648,지대,"Zone, belt, district",,1,이 지역은 비무장 지대에 가깝다.,This area is close to the demilitarized zone.
1649,판단하다,To make a conclusion,,8,상황을 정확하게 판단해야 한다.,You must judge the situation accurately.
1650,행복하다,To be happy,,9,가족과 함께 있을 때 가장 행복하다.,I am happiest when I am with my family.
1651,굽다,To roast or bake,,8,어머니가 오븐에서 빵을 굽고 계신다.,My mother is baking bread in the oven.
1652,기름,Oil or fat,,1,기름 값이 많이 올랐다.,Oil prices have gone up a lot.
1653,실천하다,"To practice, put in theory",,8,계획을 세우는 것보다 실천하는 것이 중요하다.,Putting plans into practice is more important than making them.
1654,쏟아지다,To pour out,,8,갑자기 비가 쏟아지기 시작했다.,It suddenly started pouring rain.
1655,연습,"practice, exercise",,1,피아노 연습을 매일 두 시간씩 한다.,I practice piano for two hours every day.
1656,오른쪽,The right side,,1,오른쪽으로 돌면 우체국이 있습니다.,If you turn to the right there is a post office.
1657,용어,Technical terminology,,1,이 분야의 전문 용어를 잘 모르겠다.,I do not know the technical terminology of this field well.
1658,익히다,Habituate oneself to,,8,새로운 기술을 빨리 익혀야 한다.,You need to learn the new skills quickly.
1659,지도,"Map, atlas",,1,지도를 보고 길을 찾았다.,I looked at the map and found the way.
1660,지위,"Position, status",,1,사회적 지위보다 인격이 더 중요하다.,Character is more important than social status.
1661,풍부하다,"To be abundant, copious, plentiful",,9,이 지역은 천연자원이 풍부하다.,This region is abundant in natural resources.
1662,화장실,Bathroom,,1,화장실이 어디에 있나요?,Where is the bathroom?
1663,기억하다,To recall or remember,,8,어렸을 때의 일을 잘 기억하고 있다.,I remember things from my childhood well.
1664,식량,"food, provisions",,1,전쟁 중에 식량이 부족했다.,There was a shortage of food during the war.
1665,실험,"An experiment, test",,1,과학 실험 결과가 매우 흥미로웠다.,The results of the science experiment were very interesting.
1666,용기,Bravery,,1,용기를 내서 진실을 말했다.,I gathered my courage and told the truth.
1667,토론,"A debate, discussion",,1,학생들이 환경 문제에 대해 토론했다.,The students had a debate about environmental issues.
1668,핵,"A nucleus, core",,1,핵 문제는 국제 사회의 큰 관심사이다.,The nuclear issue is a major concern of the international community.
1669,고급,High rank or first class,,1,이 식당은 고급 음식을 전문으로 한다.,This restaurant specializes in high-class food.
1670,고생,A hard life or privation,,1,부모님의 고생을 잊지 말아야 한다.,You must not forget your parents hardships.
1671,미치다,Be crazy,,8,그 소식을 듣고 기쁨에 미칠 뻔했다.,I almost went crazy with joy when I heard the news.
1672,밟다,Step on,,8,실수로 다른 사람의 발을 밟았다.,I accidentally stepped on someone else foot.
1673,상당하다,"Be proper, suitable",,9,이 프로젝트에는 상당한 비용이 든다.,This project costs a considerable amount of money.
1674,섞다,"blend, mix",,8,밀가루와 달걀을 잘 섞어 주세요.,Please mix the flour and eggs well.
1675,수석,The top seat,,1,그는 대학을 수석으로 졸업했다.,He graduated from university at the top of his class.
1676,없애다,"Remove, get rid of, do away with",,8,나쁜 습관을 없애려고 노력하고 있다.,I am trying to get rid of bad habits.
1677,이뤄지다,To make something for a specific purpose,,8,오랜 꿈이 드디어 이뤄졌다.,My long-held dream finally came true.
1678,적절하다,Appropriateness,,9,상황에 적절한 대응이 필요하다.,An appropriate response to the situation is needed.
1679,정상,"The top, summit",,1,등산객들이 산 정상에 도착했다.,The hikers arrived at the summit of the mountain.
1680,제사,A holiday ceremony,,1,추석에 온 가족이 모여 제사를 지냈다.,The whole family gathered on Chuseok and held a memorial ceremony.
1681,주말,Weekend,,1,주말에 가족과 함께 여행을 갈 계획이다.,I plan to travel with my family on the weekend.
1682,지혜,"Wisdom, wits",,1,어른들의 지혜를 배울 점이 많다.,There is much to learn from the wisdom of elders.
1683,참새,A sparrow,,1,지붕 위에 참새 한 마리가 앉아 있다.,A sparrow is sitting on the roof.
1684,화장품,"Makup, cosmetics",,1,면세점에서 화장품을 샀다.,I bought cosmetics at the duty-free shop.
1685,굵다,Be thick or fat,,9,이 나무는 줄기가 아주 굵다.,This tree has a very thick trunk.
1686,깨끗이,Clean or neatly,,5,방을 깨끗이 청소했다.,I cleaned the room neatly.
1687,낡다,Clear,,9,신발이 너무 낡아서 새 것을 사야 한다.,The shoes are so worn out that I need to buy new ones.
1688,내년,Next year,,1,내년에 대학교에 입학할 예정이다.,I plan to enter university next year.
1689,농산물,Agricultural products,,1,이 시장에서는 신선한 농산물을 살 수 있다.,You can buy fresh agricultural products at this market.
1690,눈앞,Before one’s eyes,,1,눈앞에 아름다운 바다가 펼쳐졌다.,A beautiful sea spread out before my eyes.
1691,대학생,University student,,1,저는 올해 대학생이 되었습니다.,I became a university student this year.
1692,방문하다,To visit,,8,다음 주에 할머니 댁을 방문할 것이다.,I will visit my grandmother house next week.
1693,붉다,"Be red, scalet",,9,가을이 되니 단풍이 붉게 물들었다.,As autumn came the maple leaves turned red.
1694,사고,"thought, contemplation",,1,논리적 사고 능력을 키우는 것이 중요하다.,It is important to develop logical thinking ability.
1695,순서,"system, order, sequence",,1,순서대로 한 명씩 들어오세요.,Please come in one at a time in order.
1696,아무래도,"Never on any account, no matter what",,5,아무래도 오늘 회의는 취소해야 할 것 같다.,No matter what I think we have to cancel today meeting.
1697,연구소,A research institute,,1,그는 국립 연구소에서 일하고 있다.,He works at a national research institute.
1698,올,This year,,4,올 여름은 유난히 덥다.,This summer is exceptionally hot.
1699,위대하다,"To be great, mighty, grand",,9,그는 위대한 업적을 남겼다.,He left behind great achievements.
1700,이사,House-moving,,1,다음 달에 새 아파트로 이사할 예정이다.,I plan to move to a new apartment next month.
1701,지배하다,"Control, direct",,8,그 기업이 시장을 지배하고 있다.,That company dominates the market.
1702,틈,"A crack, gap, opening",,1,문 틈으로 차가운 바람이 들어왔다.,Cold wind came in through the gap in the door.
1703,가령,1) For example 2) supposing or admitting,,5,가령 내일 비가 오면 행사는 취소될 것이다.,Supposing it rains tomorrow the event will be canceled.
1704,거대하다,Huge or gigantic or enormous,,9,거대한 빌딩이 하늘 높이 솟아 있었다.,A gigantic building towered high into the sky.
1705,닫다,To close,,8,나갈 때 문을 꼭 닫아 주세요.,Please make sure to close the door when you leave.
1706,매달리다,"Be suspended, to be hanging down (from) ; to stick to a job, to persevere",,8,아이가 엄마 팔에 매달려 있었다.,The child was hanging from the mother arm.
1707,생일,A birthday,,1,오늘은 친구의 생일이라서 파티를 열었다.,Today is my friend birthday so we threw a party.
1708,섬,An island,,1,제주도는 한국에서 가장 큰 섬이다.,Jeju Island is the largest island in Korea.
1709,이하,"Less than, below",,1,영하 10도 이하로 기온이 내려갔다.,The temperature dropped below minus 10 degrees.
1710,참석하다,"To attend, take part in",,8,내일 회의에 반드시 참석해 주세요.,Please make sure to attend the meeting tomorrow.
1711,토대,"A foundation, a base",,1,신뢰를 토대로 좋은 관계를 만들어야 한다.,You must build a good relationship on the foundation of trust.
1712,해결,"Solution, settlement",,1,이 문제의 해결 방법을 찾아야 한다.,We need to find a solution to this problem.
1713,행복,Happiness,,1,행복은 멀리 있지 않다.,Happiness is not far away.
1714,걸어가다,To go on foot or walk,,8,학교까지 걸어가는 데 20분 걸린다.,It takes 20 minutes to walk to school.
1715,근로자,Laborer,,1,근로자의 권리를 보호해야 한다.,The rights of workers must be protected.
1716,글쎄,Now or well or let me see,,6,"글쎄, 그건 좀 더 생각해 봐야 할 것 같아.","Well, I think I need to think about that a bit more."
1717,목숨,Life,,1,소방관이 목숨을 걸고 사람들을 구했다.,The firefighter risked his life to save people.
1718,백화점,Department store,,1,주말에 백화점에서 쇼핑을 했다.,I went shopping at the department store on the weekend.
1719,변화하다,"To change, vary",,8,세상이 빠르게 변화하고 있다.,The world is changing rapidly.
1720,병,A bottle,,1,물 한 병 주세요.,Please give me one bottle of water.
1721,빠져나가다,Get/go out of here,,8,교통 체증에서 빠져나가는 데 오래 걸렸다.,It took a long time to get out of the traffic jam.
1722,안녕하다,To say hello,,9,안녕하세요 그동안 안녕하셨어요?,Hello have you been well?
1723,여론,"Public opinion, public sentiment towards sth",,1,여론이 그 정책에 반대하는 쪽으로 기울었다.,Public opinion leaned against that policy.
1724,의복,"Clothes, garments",,1,전통 의복을 입고 행사에 참석했다.,I attended the event wearing traditional garments.
1725,체조,Gymnastics,,1,아침마다 체조를 하면 건강에 좋다.,Doing gymnastics every morning is good for your health.
1726,출발하다,"To depart, leave",,8,비행기가 정시에 출발했다.,The airplane departed on time.
1727,현실적,"Down to earth, Realistic",,4,좀 더 현실적인 계획을 세워야 한다.,We need to make a more realistic plan.
1728,화제,Subject of conversation,,1,그 영화가 요즘 큰 화제가 되고 있다.,That movie has become a big topic of conversation lately.
1729,결정되다,To become decided,,8,회의 날짜가 아직 결정되지 않았다.,The meeting date has not been decided yet.
1730,고양이,Kitten,,1,고양이가 소파 위에서 자고 있다.,The cat is sleeping on the sofa.
1731,공격,Attack,,1,적의 공격에 대비해야 한다.,We must prepare for the enemy attack.
1732,물가,Prices of products,,1,최근 물가가 많이 올랐다.,Prices have risen a lot recently.
1733,민주주의,Democracy,,1,민주주의는 국민의 참여가 중요하다.,Citizen participation is important in democracy.
1734,불안,"uneasiness, anxiety",,1,시험 전에 불안한 마음이 들었다.,I felt uneasy before the exam.
1735,소중하다,"To be important, valuable",,9,가족은 나에게 가장 소중한 존재이다.,Family is the most precious thing to me.
1736,여유,"reserve, surplus",,1,요즘 시간적 여유가 없다.,I do not have any spare time lately.
1737,의문,"A question, a doubt",,1,그 사건에 대해 아직 의문이 남아 있다.,Doubts still remain about that incident.
1738,중학교,Middle school,,1,저는 중학교 때 농구를 좋아했습니다.,I liked basketball when I was in middle school.
1739,킬로미터,Kilometer,,1,집에서 학교까지 약 5킬로미터이다.,It is about 5 kilometers from home to school.
1740,파도,"Waves, billows",,1,거센 파도가 해안에 부딪쳤다.,Fierce waves crashed against the shore.
1741,흰색,"gray, ash color",,1,그녀는 흰색 원피스를 입고 있었다.,She was wearing a white dress.
1742,가수,Singer,,1,그 가수의 새 앨범이 큰 인기를 끌고 있다.,That singer new album is very popular.
1743,단,"Only one, alone",,4,단 한 번의 실수도 용납되지 않는다.,Not even a single mistake is tolerated.
1744,방송국,Broadcasting station,,1,방송국에서 뉴스를 촬영하고 있었다.,They were filming the news at the broadcasting station.
1745,빛나다,"shine, glitter",,8,밤하늘에 별이 빛나고 있었다.,Stars were shining in the night sky.
1746,숨다,"To be in hiding, to hide oneself",,8,아이가 이불 속에 숨었다.,The child hid under the blanket.
1747,실리다,"To be printed,recorded; to be loaded onto a truck (luggage)",,8,그 기사가 오늘 신문에 실렸다.,That article was printed in today newspaper.
1748,압력,"pressure, stress",,1,회사에서 압력을 받고 있다.,I am under pressure from the company.
1749,예금,Deposit money,,1,은행에 예금을 넣어 두었다.,I deposited money in the bank.
1750,예상되다,"To expect, anticipate",,8,내일 비가 올 것으로 예상된다.,Rain is expected tomorrow.
1751,입학,Admission into school,,1,아들이 올해 초등학교에 입학했다.,My son entered elementary school this year.
1752,증권,"securities, document,deed",,1,증권 시장이 크게 변동하고 있다.,The securities market is fluctuating greatly.
1753,직후,Immediately after,,1,사고 직후 구급차가 도착했다.,An ambulance arrived immediately after the accident.
1754,차량,"vehicles, cars",,1,이 도로는 대형 차량 통행이 금지되어 있다.,Large vehicles are prohibited from passing on this road.
1755,출산,Child birth,,1,출산 후 충분한 휴식이 필요하다.,Sufficient rest is needed after childbirth.
1756,물다,"bite, put in the mouth",,8,강아지가 내 손을 가볍게 물었다.,The puppy gently bit my hand.
1757,선진국,A developed country,,1,한국은 이제 선진국으로 인정받고 있다.,Korea is now recognized as a developed country.
1758,약,Medicine,,1,감기에 걸려서 약을 먹었다.,I caught a cold so I took medicine.
1759,어느새,"In no time, quickly",,5,어느새 해가 지고 있었다.,Before I knew it the sun was setting.
1760,재판,A trial,,1,재판이 다음 달에 시작될 예정이다.,The trial is scheduled to begin next month.
1761,저쪽,"Over there, in that direction",,2,저쪽에 보이는 건물이 도서관입니다.,The building you see over there is the library.
1762,제자,A disciple,,1,그 교수는 많은 제자를 길러 냈다.,That professor trained many disciples.
1763,창문,A window,,1,창문을 열어서 환기를 시켰다.,I opened the window to ventilate the room.
1764,초,A second,,1,10초 안에 대답해야 합니다.,You must answer within 10 seconds.
1765,치즈,Cheese,,1,이 피자에 치즈가 듬뿍 들어 있다.,This pizza has plenty of cheese on it.
1766,회복,"Recovery, recuperation",,1,수술 후 빠른 회복을 기원합니다.,I wish you a speedy recovery after the surgery.
1767,구역,A zone or district,,1,이 구역은 주차가 금지되어 있습니다.,Parking is prohibited in this zone.
1768,대응,"Confrontation, opposition",,1,정부는 위기에 신속하게 대응했다.,The government responded swiftly to the crisis.
1769,반대하다,Be opposed to,,8,많은 시민들이 그 법안에 반대했다.,Many citizens opposed that bill.
1770,발휘하다,"Display, exhibit",,8,그는 시합에서 실력을 충분히 발휘했다.,He fully displayed his skills in the match.
1771,소비,Consumption,,1,에너지 소비를 줄여야 한다.,We must reduce energy consumption.
1772,심장,The heart,,1,운동을 하면 심장이 빨리 뛴다.,When you exercise your heart beats fast.
1773,아이고,Oh my god!,,6,아이고 깜짝 놀랐잖아!,Oh my you startled me!
1774,조용히,Quietly,,5,도서관에서는 조용히 해 주세요.,Please be quiet in the library.
1775,중소기업,Small and medium enterprises,,1,정부가 중소기업을 지원하는 정책을 발표했다.,The government announced policies to support small and medium
1776,직접적,"Directly, immediately",,4,그 사건과 직접적인 관련이 없다.,It has no direct connection to that incident.
1777,진실,"Truth, sincerity",,1,진실은 언젠가 밝혀지게 마련이다.,The truth is bound to come out eventually.
1778,필자,"The writer, author",,1,필자는 이 문제에 대해 다른 견해를 가지고 있다.,The author has a different view on this issue.
1779,협력,"Cooperation, cooperate with",,1,두 나라 사이의 협력이 강화되고 있다.,Cooperation between the two countries is being strengthened.
1780,가스,Gas,,1,가스 불을 끄는 것을 잊지 마세요.,Do not forget to turn off the gas stove.
1781,계층,A class or social stratum,,1,다양한 계층의 사람들이 참여했다.,People from various social classes participated.
1782,구멍,A hole,,1,양말에 구멍이 났다.,A hole appeared in my sock.
1783,담당,"Charge, undertaking",,1,이 프로젝트의 담당자가 누구입니까?,Who is the person in charge of this project?
1784,만화,Cartoons,,1,어릴 때 만화를 많이 봤다.,I watched a lot of cartoons when I was young.
1785,먹이다,"support, feed",,8,어머니가 아기에게 우유를 먹이고 있다.,The mother is feeding the baby milk.
1786,무시하다,"disregard, ignore ; to be defiant and fail to observe",,8,다른 사람의 의견을 무시하면 안 된다.,You should not ignore other people opinions.
1787,보도하다,"To report, inform",,8,기자가 사건 현장에서 실시간으로 보도했다.,The reporter reported live from the scene of the incident.
1788,살짝,"(1) softly, lightly, just a little (2) furtively, stealthily",,5,문을 살짝 열고 안을 들여다보았다.,I opened the door slightly and peeked inside.
1789,생각나다,To remember,,8,갑자기 좋은 아이디어가 생각났다.,A good idea suddenly came to mind.
1790,우유,Milk,,1,매일 아침 우유 한 잔을 마신다.,I drink a glass of milk every morning.
1791,인상,pulling/drawing up,,1,내년부터 월급 인상이 예정되어 있다.,A salary raise is planned starting next year.
1792,차갑다,Cold,,9,겨울에는 바닥이 너무 차갑다.,The floor is too cold in winter.
1793,철저하다,"thoroughness, cleanliness",,9,그는 준비가 항상 철저하다.,His preparation is always thorough.
1794,태아,"A fetus, an unborn child",,1,태아의 건강을 위해 정기 검진을 받았다.,I had regular checkups for the health of the fetus.
1795,관찰하다,Observe or view or watch,,8,과학자들이 동물의 행동을 관찰했다.,The scientists observed the animals behavior.
1796,괜히,"In vain or useless or fruitless, for a stupid reason",,5,괜히 걱정했던 것 같다.,It seems I worried for nothing.
1797,끼다,"To put on or wear, to wear (a ring)",,8,장갑을 끼고 밖에 나갔다.,I put on gloves and went outside.
1798,날개,The wings,,1,새가 날개를 펴고 하늘을 날았다.,The bird spread its wings and flew across the sky.
1799,녀석,Fellow,,1,이 녀석 또 장난을 치고 있구나!,This fellow you are playing pranks again!
1800,눈빛,The glitter of one’s eyes,,1,그녀의 눈빛에서 강한 의지가 느껴졌다.,A strong determination could be felt in the glitter of her eyes.
1801,단지,A public apt complex,,1,우리 단지에는 놀이터와 편의점이 있다.,Our apartment complex has a playground and a convenience store.
1802,물속,Inside the water,,1,물속에서 물고기들이 자유롭게 헤엄치고 있었다.,Fish were swimming freely inside the water.
1803,민주,Democracy,,1,민주 사회에서는 모든 국민이 평등한 권리를 가진다.,In a democratic society all citizens have equal rights.
1804,성공하다,To succeed,,8,꾸준히 노력하면 반드시 성공할 수 있다.,If you make steady efforts you can definitely succeed.
1805,소나무,A pine tree,,1,할아버지 집 앞마당에 큰 소나무가 한 그루 서 있다.,A large pine tree stands in the front yard of my
1806,여기저기,Here and there,,5,봄이 되자 여기저기 꽃이 피기 시작했다.,When spring came flowers started blooming here and there.
1807,여인,"beauty, belle",,1,그 여인은 긴 머리카락을 바람에 날리며 걸어갔다.,The woman walked along with her long hair blowing in the
